Scenario 1 ===============================================================>

Python binary: /home/chaurasi/semesterproject/venvs/venv-graph1/bin/python
Python version: Python 3.10.4
2.8.0+cu128
12.8
True
Training Examples: 412, Val Examples: 40, Test Examples: 48
Elapsed time: 1788.7766 seconds
412
torch.Size([329500, 14])
torch.Size([129900, 14])
torch.Size([172400, 14])
Step 0, Batch Loss: 0.4036, Graph Shape: torch.Size([329500, 14]), target shape: torch.Size([3295, 1])
Step 1, Batch Loss: 0.3989, Graph Shape: torch.Size([330100, 14]), target shape: torch.Size([3301, 1])
Step 2, Batch Loss: 0.4181, Graph Shape: torch.Size([330500, 14]), target shape: torch.Size([3305, 1])
Step 3, Batch Loss: 0.2615, Graph Shape: torch.Size([130000, 14]), target shape: torch.Size([1300, 1])
Step 4, Batch Loss: 0.3783, Graph Shape: torch.Size([129900, 14]), target shape: torch.Size([1299, 1])
Step 5, Batch Loss: 0.2791, Graph Shape: torch.Size([130000, 14]), target shape: torch.Size([1300, 1])
Step 6, Batch Loss: 0.3250, Graph Shape: torch.Size([129800, 14]), target shape: torch.Size([1298, 1])
Step 7, Batch Loss: 0.4241, Graph Shape: torch.Size([129800, 14]), target shape: torch.Size([1298, 1])
Step 8, Batch Loss: 0.8305, Graph Shape: torch.Size([172600, 14]), target shape: torch.Size([1726, 1])
Step 9, Batch Loss: 0.3942, Graph Shape: torch.Size([89000, 14]), target shape: torch.Size([890, 1])
Step 10, Batch Loss: 2.2965, Graph Shape: torch.Size([172400, 14]), target shape: torch.Size([1724, 1])
Step 11, Batch Loss: 0.3714, Graph Shape: torch.Size([324100, 14]), target shape: torch.Size([3241, 1])
Step 12, Batch Loss: 1.0006, Graph Shape: torch.Size([173100, 14]), target shape: torch.Size([1731, 1])
Step 13, Batch Loss: 0.3937, Graph Shape: torch.Size([173000, 14]), target shape: torch.Size([1730, 1])
Step 14, Batch Loss: 0.3724, Graph Shape: torch.Size([172400, 14]), target shape: torch.Size([1724, 1])
Step 15, Batch Loss: 0.2721, Graph Shape: torch.Size([205900, 14]), target shape: torch.Size([2059, 1])
Step 16, Batch Loss: 0.4512, Graph Shape: torch.Size([237000, 14]), target shape: torch.Size([2370, 1])
Step 17, Batch Loss: 0.2759, Graph Shape: torch.Size([154200, 14]), target shape: torch.Size([1542, 1])
Step 18, Batch Loss: 0.2868, Graph Shape: torch.Size([235400, 14]), target shape: torch.Size([2354, 1])
Step 19, Batch Loss: 0.2697, Graph Shape: torch.Size([206300, 14]), target shape: torch.Size([2063, 1])
Step 20, Batch Loss: 0.2167, Graph Shape: torch.Size([227900, 14]), target shape: torch.Size([2279, 1])
Step 21, Batch Loss: 0.3997, Graph Shape: torch.Size([344400, 14]), target shape: torch.Size([3444, 1])
Step 22, Batch Loss: 0.2889, Graph Shape: torch.Size([281100, 14]), target shape: torch.Size([2811, 1])
Step 23, Batch Loss: 0.4743, Graph Shape: torch.Size([300600, 14]), target shape: torch.Size([3006, 1])
Step 24, Batch Loss: 0.1868, Graph Shape: torch.Size([226900, 14]), target shape: torch.Size([2269, 1])
Step 25, Batch Loss: 1.4861, Graph Shape: torch.Size([384400, 14]), target shape: torch.Size([3844, 1])
Step 26, Batch Loss: 0.2308, Graph Shape: torch.Size([228800, 14]), target shape: torch.Size([2288, 1])
Step 27, Batch Loss: 1.0185, Graph Shape: torch.Size([397800, 14]), target shape: torch.Size([3978, 1])
Step 28, Batch Loss: 0.2207, Graph Shape: torch.Size([228200, 14]), target shape: torch.Size([2282, 1])
Step 29, Batch Loss: 0.8411, Graph Shape: torch.Size([350200, 14]), target shape: torch.Size([3502, 1])
Step 30, Batch Loss: 0.2454, Graph Shape: torch.Size([173100, 14]), target shape: torch.Size([1731, 1])
Step 31, Batch Loss: 0.2555, Graph Shape: torch.Size([127700, 14]), target shape: torch.Size([1277, 1])
Step 32, Batch Loss: 0.2036, Graph Shape: torch.Size([127600, 14]), target shape: torch.Size([1276, 1])
Step 33, Batch Loss: 0.2725, Graph Shape: torch.Size([180200, 14]), target shape: torch.Size([1802, 1])
Step 34, Batch Loss: 0.2198, Graph Shape: torch.Size([157200, 14]), target shape: torch.Size([1572, 1])
Step 35, Batch Loss: 1.3022, Graph Shape: torch.Size([536800, 14]), target shape: torch.Size([5368, 1])
Step 36, Batch Loss: 0.1716, Graph Shape: torch.Size([157000, 14]), target shape: torch.Size([1570, 1])
Step 37, Batch Loss: 0.1888, Graph Shape: torch.Size([662500, 14]), target shape: torch.Size([6625, 1])
Step 38, Batch Loss: 0.2674, Graph Shape: torch.Size([286100, 14]), target shape: torch.Size([2861, 1])
Step 39, Batch Loss: 0.1951, Graph Shape: torch.Size([155700, 14]), target shape: torch.Size([1557, 1])
